kind,id,type,content,source,target,weight,confidence,source_file,document_id,valid_from,valid_until,temporal_confidence,scenario_ids,scenario_names,evidence
node,ent_9d90e12f80a02cf4,AMOUNT,人民币128万元,,,,0.75,1-采购立项与评审记录.txt,doc_dffcad73d78c1d75,,,,procurement-compliance|contract-key-terms,采购合规审查|合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 251, ""end"": 259, ""text"": ""施周期、售后服务和报价进行综合评分。\n\n上海云启科技有限公司中标2026年智能仓储系统采购项目。\n上海云启科技有限公司以人民币128万元中标。\n\n经补充核查，李明是上海云启科技有限公司的股东。评审专家李明未在评审前主动披露该持股关系。上海云启科技有限公司存""}, {""chunk_id"": ""chunk-0000"", ""start"": 108, ""end"": 116, ""text"": ""026-0818\n甲方：华东智造集团有限公司\n乙方：上海云启科技有限公司\n甲方联系人：王强\n乙方联系人：陈晨\n合同金额：人民币128万元\n签订日期：2026年8月18日\n生效日期：2026年8月18日\n计划交付日期：2026年11月30日\n\n付款方式：合同""}]"
node,ent_3452f5e6ea6ac823,AMOUNT,人民币150万元,,,,0.75,1-采购立项与评审记录.txt,doc_dffcad73d78c1d75,,,,procurement-compliance|contract-key-terms,采购合规审查|合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 100, ""end"": 108, ""text"": ""人：华东智造集团有限公司\n代理机构：上海恒信招标代理有限公司\n供应商：上海云启科技有限公司\n项目负责人：王强\n预算金额：人民币150万元\n立项日期：2026年7月15日\n评审日期：2026年8月12日\n\n本项目采用公开招标方式实施，共有三家供应商提交投标文""}]"
node,ent_c5d15a03cf5f2734,BLACKLIST,供应商禁入名单,,,,0.75,2-供应商尽调与风险核查报告.txt,doc_f71895663baa2ff8,,,,procurement-compliance|supplier-risk,采购合规审查|供应商风险画像,"[{""chunk_id"": ""chunk-0000"", ""start"": 251, ""end"": 258, ""text"": ""海\n核查日期：2026年8月10日\n\n宁波汇达设备有限公司\n名单生效日期：2026年5月6日\n宁波汇达设备有限公司被列入供应商禁入名单。名单有效期尚未届满，不得参与本集团新的采购项目。\n\n核查结论：上海云启科技有限公司需要补充利益冲突说明；宁波汇达设备有""}]"
node,ent_f589993be5d34796,CLAUSE,乙方必须在2026年11月30日前完成智能仓储系统的软件部署、设备安装和接口联调,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,contract-key-terms,合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 228, ""end"": 268, ""text"": ""付款方式：合同生效后支付合同金额的30%，系统到货并完成初验后支付40%，最终验收合格后支付剩余30%。\n\n交付条件：乙方必须在2026年11月30日前完成智能仓储系统的软件部署、设备安装和接口联调。\n\n验收条款：甲方应当在收到乙方验收申请后十个工作日内组织验收，乙方负责对验收发现的问题进行整改。\n\n保密条款：双方必""}]"
node,ent_30869cb9187d1298,CLAUSE,乙方逾期交付的，每逾期一日应当按合同金额的0.05%支付违约金；逾期超过三十日，甲方有权解除合同,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,contract-key-terms,合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 375, ""end"": 423, ""text"": ""整改。\n\n保密条款：双方必须对项目数据、系统接口和采购价格承担保密义务，未经对方书面同意不得向第三方披露。\n\n违约责任：乙方逾期交付的，每逾期一日应当按合同金额的0.05%支付违约金；逾期超过三十日，甲方有权解除合同。\n\n特别约定：乙方应当在签约前提交完整的利益冲突声明。若隐瞒关联关系，甲方有权暂停付款并启动合规复核。""}]"
node,ent_1d2c5dced75d2b72,CLAUSE,双方必须对项目数据、系统接口和采购价格承担保密义务，未经对方书面同意不得向第三方披露,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,contract-key-terms,合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 325, ""end"": 367, ""text"": ""口联调。\n\n验收条款：甲方应当在收到乙方验收申请后十个工作日内组织验收，乙方负责对验收发现的问题进行整改。\n\n保密条款：双方必须对项目数据、系统接口和采购价格承担保密义务，未经对方书面同意不得向第三方披露。\n\n违约责任：乙方逾期交付的，每逾期一日应当按合同金额的0.05%支付违约金；逾期超过三十日，甲方有权解除合同。\n\n特""}]"
node,ent_c82fe0e4f217352f,CLAUSE,合同生效后支付合同金额的30%，系统到货并完成初验后支付40%，最终验收合格后支付剩余30%,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,contract-key-terms,合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 174, ""end"": 220, ""text"": ""万元\n签订日期：2026年8月18日\n生效日期：2026年8月18日\n计划交付日期：2026年11月30日\n\n付款方式：合同生效后支付合同金额的30%，系统到货并完成初验后支付40%，最终验收合格后支付剩余30%。\n\n交付条件：乙方必须在2026年11月30日前完成智能仓储系统的软件部署、设备安装和接口联调。\n\n验收条款：甲方应当""}]"
node,ent_0df8947b2a6ac79f,CLAUSE,甲方应当在收到乙方验收申请后十个工作日内组织验收，乙方负责对验收发现的问题进行整改,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,contract-key-terms,合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 276, ""end"": 317, ""text"": ""余30%。\n\n交付条件：乙方必须在2026年11月30日前完成智能仓储系统的软件部署、设备安装和接口联调。\n\n验收条款：甲方应当在收到乙方验收申请后十个工作日内组织验收，乙方负责对验收发现的问题进行整改。\n\n保密条款：双方必须对项目数据、系统接口和采购价格承担保密义务，未经对方书面同意不得向第三方披露。\n\n违约责任：乙方""}]"
node,ent_45060fcd83abca83,CONTRACT,2026年智能仓储系统采购合同,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,contract-key-terms,合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 18, ""end"": 33, ""text"": ""采购合同关键条款确认稿\n\n合同名称：2026年智能仓储系统采购合同\n合同编号：HDZZ-CG-2026-0818\n甲方：华东智造集团有限公司\n乙方：上海云启科技有限公司\n甲方联系人：王强""}]"
node,ent_91970ba71940c61b,CONTRACT,HDZZ-CG-2026-0818,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,contract-key-terms,合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 39, ""end"": 56, ""text"": ""采购合同关键条款确认稿\n\n合同名称：2026年智能仓储系统采购合同\n合同编号：HDZZ-CG-2026-0818\n甲方：华东智造集团有限公司\n乙方：上海云启科技有限公司\n甲方联系人：王强\n乙方联系人：陈晨\n合同金额：人民币128万元""}]"
node,ent_c4f26c0c78b9759d,DATE,2026年11月30日,,,,0.75,3-采购合同关键条款确认稿.txt,doc_de6362cdbaaf1a10,,,,procurement-compliance|supplier-risk|contract-key-terms,采购合规审查|供应商风险画像|合同关键要素,"[{""chunk_id"": ""chunk-0000"", ""start"": 156, ""end"": 167, ""text"": ""联系人：陈晨\n合同金额：人民币128万元\n签订日期：2026年8月18日\n生效日期：2026年8月18日\n计划交付日期：2026年11月30日\n\n付款方式：合同生效后支付合同金额的30%，系统到货并完成初验后支付40%，最终验收合格后支付剩余30%。\n\n交付条件""}, {""chunk_id"": ""chunk-0000"", ""start"": 233, ""end"": 244, ""text"": ""：合同生效后支付合同金额的30%，系统到货并完成初验后支付40%，最终验收合格后支付剩余30%。\n\n交付条件：乙方必须在2026年11月30日前完成智能仓储系统的软件部署、设备安装和接口联调。\n\n验收条款：甲方应当在收到乙方验收申请后十个工作日内组织验收，乙方负""}]"
